Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"Planning",2024-03-18,2024-04-05,15 day,50,"","",,"<p><br></p>"
2,2,"Determine project requirements",2024-03-18,2024-03-22,5 day,80,"","Team Member 1",121,"<p><br></p>"
2,3,"Secure project sponsorship",2024-03-25,2024-03-29,5 day,50,"2FS","Team Member 2",211,"<p><br></p>"
2,4," Secure core resources",2024-04-01,2024-04-05,5 day,20,"3FS","Team Member 3",301,"<p><br></p>"
1,5,"Analysis/Software Requirements",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,6," Conduct needs analysis",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,7,"Draft preliminary software specifications",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,8,"Develop preliminary budget",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,9,"Team review on software specifications budget",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,10,"Incorporate feedback on software specifications",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,11,"Develop delivery timeline",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,12,"Obtain approvals to proceed ",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
1,13,"Design",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,14,"Develop functional specifications",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,15,"Design Use case Diagram",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,16,"Design Prototype(UI/UX)",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,17,"Design Class Diagram",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,18,"Review functional specifications",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,19,"Incorporate feedback",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,20,"Obtain approval to proceed",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
1,21,"Implementation/Development",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,22,"Identify design parameters",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,23,"Assign development staff",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,24,"Code development",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,25,"Code review/testing (Developer)",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
1,26,"Testing",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,27,"Develop unit test plans",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,28,"Develop integration test plans",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,29,"Unit Testing",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,30,"Review modular code",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,31,"Test component modules",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,32,"Identify anomalies",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,33,"Modify code",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,34,"Re-test modified code",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,35,"Integration Testing",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,36,"Test module integration",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,37,"Identify anomalies",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,38,"Modify integrated code",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
3,39,"Re-test integrated code",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
1,40,"Documentation",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,41,"Develop Support specifications",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,42,"Develop Support system",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,43,"Review Support documentation",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,44,"Incorporate feedback on support documentation",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,45,"Develop User manual specifications",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,46,"Develop User manual",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,47,"Review all documentation",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,48,"Incorporate feedback on Documentations",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
1,49,"Deployment",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,50,"Determine final deployment strategy",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,51,"Develop deployment methodology",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,52,"Design deployment diagram",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,53,"Secure deployment recources",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"
2,54,"Deploy Software",2024-03-18,2024-03-18,1 day,0,"","",,"<p><br></p>"